DOY,AIR T (Â°C),Tjele globalrad
1,4.91291666666667,12.7
2,-6.33170833333333,12.7
3,-5.67460416666667,10.4
4,-3.140375,5.79
5,-8.64758333333333,8.1
6,-8.17491666666667,4.63
7,-10.4920833333333,4.63
8,-11.04,9.26
9,-10.1633333333333,9.26
10,-10.6729166666667,18.5
11,-7.87808333333334,12.7
12,-9.76104166666667,24.3
13,-9.94395833333333,11.6
14,-8.539375,6.94
15,-6.52720833333334,13.9
16,-13.21,48.6
17,-12.8365208333333,30.1
18,-1.54270833333333,12.7
19,-10.0283333333333,10.4
20,-10.5235416666667,6.94
21,-11.80375,23.1
22,-13.624375,24.3
23,-19.6870833333333,19.7
24,-16.0816666666667,17.4
25,-4.6300625,19.7
26,-3.92904166666667,26.6
27,-4.9658125,15
28,-6.10175,62.5
29,-9.9175,27.8
30,-11.9954166666667,39.4
31,-16.198125,66
32,-11.8310416666667,62.5
33,-11.5404166666667,41.7
34,-11.7622916666667,19.7
35,-10.7595833333333,26.6
36,-6.805875,39.4
37,-4.17570833333333,70.6
38,-4.9620625,33.6
39,-14.2216666666667,37
40,-13.1441666666667,28.9
41,-15.5389583333333,79.9
42,-13.5,59
43,-7.21429166666667,102
44,-0.99075,98.4
45,-1.7625,90.3
46,-10.1992708333333,23.1
47,-1.51241666666667,33.6
48,4.3403125,26.6
49,3.68847916666667,25.5
50,-5.9830625,72.9
51,-6.79908333333333,50.9
52,-11.1975,72.9
53,-10.9420208333333,79.9
54,-5.69358333333334,26.6
55,-3.17339583333333,30.1
56,-5.12783333333333,55.6
57,-5.53452083333333,52.1
58,-1.30627083333333,101
59,-1.93160416666667,103
60,-4.50185416666667,57.9
61,-7.8658125,130
62,-7.65602083333333,78.7
63,-1.34879166666667,138
64,1.18879166666667,141
65,-7.64429166666667,68.3
66,-8.93533333333333,132
67,-3.52435416666667,150
68,-0.733229166666667,157
69,2.35208333333333,71.8
70,-0.630375,27.8
71,-0.496604166666667,67.1
72,-1.7759375,35.9
73,-4.13360416666667,99.5
74,-0.984145833333333,72.9
75,1.90577083333333,153
76,6.33545833333333,92.6
77,4.33004255319149,138
78,-2.29627083333333,147
79,-1.20766666666667,54.4
80,2.16772916666667,155
81,0.7025625,71.8
82,-5.02764583333334,94.9
83,-7.86427083333334,104
84,-8.79652083333333,149
85,-9.17885416666667,79.9
86,-8.594125,93.8
87,-6.06816666666667,40.5
88,-2.40252083333333,32.4
89,0.12825,189
90,1.29616666666667,118
91,2.2494375,203
92,2.31416666666667,182
93,1.93320833333333,205
94,5.25197916666667,74.1
95,0.257270833333333,133
96,1.540375,188
97,4.73747916666667,142
98,4.82154166666667,103
99,8.768,171
100,11.6194375,189
101,13.201,42.8
102,6.16229166666667,183
103,8.01445833333333,194
104,5.60720833333333,207
105,1.88658333333333,183
106,4.61504166666667,215
107,0.351208333333333,193
108,-0.615541666666667,242
109,0.841583333333333,251
110,1.86720833333333,263
111,1.3028125,226
112,3.1831875,277
113,9.56783333333333,189
114,7.06825,266
115,7.24245833333333,273
116,9.62335416666667,205
117,13.9610416666667,267
118,8.77633333333334,182
119,3.5970625,213
120,8.90979166666667,48.6
121,10.6825,149
122,9.1041875,211
123,4.512125,190
124,6.95695833333333,67.1
125,9.31533333333333,98.4
126,9.166875,126
127,9.73958333333334,183
128,10.617875,238
129,12.7884791666667,215
130,11.8716666666667,174
131,14.3472916666667,99.5
132,13.89625,52.1
133,17.6941666666667,133
134,14.59625,108
135,8.71310416666667,88
136,6.13310416666667,77.5
137,9.57872916666667,130
138,13.503125,186
139,14.6216666666667,141
140,15.8746808510638,231
141,18.8877083333333,176
142,19.1797916666667,125
143,17.965,99.5
144,11.896875,98.4
145,11.3498125,83.3
146,13.501875,69.4
147,10.9908333333333,177
148,13.988125,277
149,18.2191666666667,322
150,21.954375,333
151,25.1591666666667,334
152,19.5985416666667,240
153,10.9443333333333,245
154,15.1643958333333,159
155,16.3464583333333,288
156,17.856875,317
157,20.788125,231
158,21.3910416666667,242
159,23.4033333333333,328
160,18.0752083333333,329
161,13.8402083333333,295
162,15.5745833333333,167
163,11.8897916666667,260
164,12.079375,336
165,15.1072916666667,174
166,19.325625,302
167,18.9866666666667,345
168,18.165625,286
169,19.46375,168
170,17.6210416666667,237
171,19.0952083333333,139
172,21.0875,126
173,19.4439583333333,213
174,18.4560416666667,207
175,16.556875,330
176,15.0560416666667,168
177,16.8860416666667,96.1
178,19.2247916666667,251
179,18.54875,350
180,13.433125,243
181,16.668125,209
182,20.3802083333333,287
183,22.6429166666667,108
184,20.9604166666667,69.4
185,19.2302083333333,221
186,21.250625,191
187,21.1360416666667,146
188,20.9658333333333,292
189,21.595,241
190,21.6925,204
191,23.7495833333333,181
192,24.790625,234
193,22.6622916666667,284
194,17.6383333333333,266
195,19.6152083333333,294
196,20.7997916666667,300
197,24.3347916666667,321
198,25.8341666666667,321
199,24.723125,207
200,23.9489583333333,300
201,25.9647916666667,181
202,28.06875,132
203,22.946875,220
204,24.6264583333333,249
205,23.8077083333333,297
206,21.3935416666667,119
207,19.0102083333333,191
208,20.74625,209
209,21.9702083333333,178
210,22.7070833333333,163
211,21.6760416666667,191
212,23.9264583333333,172
213,22.9358333333333,188
214,21.564375,247
215,20.098125,251
216,20.50875,166
217,20.9885416666667,171
218,22.5335416666667,237
219,22.16875,86.8
220,20.9185416666667,135
221,19.7497916666667,171
222,17.03,131
223,16.7266666666667,209
224,19.2652083333333,152
225,20.2083333333333,150
226,17.7129166666667,181
227,19.424375,153
228,19.9047916666667,78.7
229,20.345,225
230,20.7439583333333,82.2
231,20.8339583333333,197
232,19.875,166
233,16.3558333333333,171
234,15.07875,212
235,18.0883333333333,244
236,20.3845833333333,229
237,17.8110416666667,138
238,19.4102083333333,76.4
239,19.224375,49.8
240,16.311875,101
241,16.3991666666667,145
242,18.5908333333333,228
243,18.69,220
244,19.88,207
245,23.8425,168
246,24.0914583333333,215
247,19.5902083333333,218
248,12.2504166666667,219
249,11.5604166666667,115
250,14.3310416666667,113
251,16.72375,182
252,18.6666666666667,190
253,18.57625,84.5
254,17.7835416666667,79.9
255,19.9685416666667,90.3
256,16.0310416666667,71.8
257,11.6581875,139
258,7.44283333333333,37
259,8.26197916666667,46.3
260,10.02425,45.1
261,12.5547916666667,52.1
262,12.826875,56.7
263,14.2466666666667,90.3
264,15.578125,86.8
265,14.9058333333333,157
266,12.8189583333333,133
267,13.9847916666667,99.5
268,17.071875,133
269,18.4733333333333,35.9
270,17.0752083333333,37
271,15.3077083333333,108
272,13.5352083333333,28.9
273,10.1962916666667,49.8
274,5.747625,66
275,5.0724375,56.7
276,9.91854166666666,34.7
277,12.2497916666667,33.6
278,12.2748541666667,53.2
279,12.2163125,99.5
280,15.34125,53.2
281,16.8254166666667,54.4
282,18.0879166666667,35.9
283,16.95875,60.2
284,16.8347916666667,97.2
285,13.7733333333333,92.6
286,14.42625,59
287,12.0654166666667,72.9
288,6.97633333333333,81
289,7.37366666666666,83.3
290,7.05914583333333,93.8
291,8.05439583333333,82.2
292,7.78922916666667,91.4
293,8.10445833333333,85.6
294,5.73470833333333,25.5
295,5.01985416666667,22
296,7.852375,42.8
297,8.39983333333333,52.1
298,5.04579166666667,56.7
299,4.607375,19.7
300,1.22704166666667,26.6
301,2.66745833333333,60.2
302,2.87814583333333,63.7
303,3.4599375,62.5
304,5.81877083333333,20.8
305,6.13389583333333,45.1
306,9.5381875,32.4
307,5.69952083333333,17.4
308,1.80135416666667,52.1
309,2.09945833333333,56.7
310,6.83589583333334,15
311,9.86363636363636,49.8
312,3.51137631027254,40
313,3.4438498427673,40
314,3.37632337526206,40
315,3.30879690775682,40
316,3.24127044025157,40
317,3.17374397274633,40
318,3.10621750524109,40
319,3.03869103773585,40
320,2.97116457023061,40
321,2.90363810272537,40
322,2.83611163522013,40
323,2.76858516771489,40
324,2.70105870020964,40
325,2.6335322327044,40
326,2.56600576519916,40
327,2.49847929769392,40
328,2.43095283018868,40
329,2.36342636268344,40
330,2.2958998951782,40
331,2.22837342767296,40
332,2.16084696016772,40
333,2.09332049266247,40
334,2.02579402515723,40
335,1.95826755765199,40
336,1.89074109014675,40
337,1.82321462264151,40
338,1.75568815513627,40
339,1.68816168763103,40
340,1.62063522012579,40
341,1.55310875262055,40
342,1.4855822851153,40
343,1.41805581761006,40
344,1.35052935010482,40
345,1.28300288259958,40
346,1.21547641509434,40
347,1.1479499475891,40
348,1.08042348008386,40
349,1.01289701257862,40
350,0.945370545073375,40
351,0.877844077568134,40
352,0.810317610062893,40
353,0.742791142557652,40
354,0.675264675052411,40
355,0.60773820754717,40
356,0.540211740041929,40
357,0.472685272536688,40
358,0.405158805031447,40
359,0.337632337526205,40
360,0.270105870020964,40
361,0.202579402515723,40
362,0.135052935010482,40
363,0.0675264675052407,40
364,0,40
365,0,40
