"doy","mean.temp","Solar.rad.","x"
1,1,10.4,2021
2,0.9,10.4,2021
3,-0.6,10.4,2021
4,0,10.4,2021
5,-1,13.9,2021
6,-2,16.2,2021
7,-0.5,10.4,2021
8,0,10.4,2021
9,-2,11.6,2021
10,-1.1,11.6,2021
11,-1,12.7,2021
12,-2.2,22,2021
13,-2.5,16.2,2021
14,-4.4,13.9,2021
15,-9.1,13.9,2021
16,-3.6,15,2021
17,-2.6,13.9,2021
18,-1.5,13.9,2021
19,-1.1,15,2021
20,0.4,15,2021
21,2.8,15,2021
22,3.2,16.2,2021
23,3.2,19.7,2021
24,-1.5,27.8,2021
25,-1,17.4,2021
26,-3.1,17.4,2021
27,-5.5,18.5,2021
28,-4.8,18.5,2021
29,-4.4,20.8,2021
30,-10.2,30.1,2021
31,-11.2,52.1,2021
32,-8.9,56.7,2021
33,-4.7,22,2021
34,-6.9,26.6,2021
35,-9.1,28.9,2021
36,-9.2,33.6,2021
37,-8.7,47.5,2021
38,-9.8,34.7,2021
39,-9.4,35.9,2021
40,-11,60.2,2021
41,-11.5,28.9,2021
42,-10.9,39.4,2021
43,-7.9,34.7,2021
44,-5.6,88,2021
45,-3.1,34.7,2021
46,-7.1,92.6,2021
47,-6.9,35.9,2021
48,-4.1,39.4,2021
49,-3.5,35.9,2021
50,0.7,35.9,2021
51,2.4,38.2,2021
52,3.8,39.4,2021
53,2.7,39.4,2021
54,2.8,39.4,2021
55,5.3,40.5,2021
56,8.6,41.7,2021
57,6.3,126,2021
58,3.4,93.8,2021
59,4.9,93.8,2021
60,3.8,63.7,2021
61,4.2,84.5,2021
62,1.9,134,2021
63,-0.8,99.5,2021
64,-2.6,113,2021
65,2,63.7,2021
66,-0.4,71.8,2021
67,-1.1,154,2021
68,-1.6,56.7,2021
69,-5,57.9,2021
70,-0.9,62.5,2021
71,2.3,56.7,2021
72,3.1,70.6,2021
73,1.7,63.7,2021
74,1.7,88,2021
75,1,124,2021
76,-0.3,88,2021
77,-1.2,75.2,2021
78,-2.1,115,2021
79,3,78.7,2021
80,3.5,164,2021
81,4.8,81,2021
82,7,170,2021
83,6.7,111,2021
84,6.3,155,2021
85,6.5,115,2021
86,6.9,138,2021
87,4.3,84.5,2021
88,8.1,83.3,2021
89,10.5,93.8,2021
90,5.9,91.4,2021
91,4.5,198,2021
92,4.5,108,2021
93,4.7,170,2021
94,6.8,251,2021
95,1.8,109,2021
96,3.8,153,2021
97,2.9,134,2021
98,2.4,231,2021
99,4.2,109,2021
100,4.6,272,2021
101,3.6,167,2021
102,3.6,102,2021
103,3,161,2021
104,2.3,222,2021
105,3.1,251,2021
106,5.6,302,2021
107,7.2,236,2021
108,7.6,319,2021
109,7.6,330,2021
110,7.9,328,2021
111,7.4,237,2021
112,1.6,115,2021
113,3.8,190,2021
114,2.5,155,2021
115,1.4,127,2021
116,2.2,124,2021
117,3.9,231,2021
118,3.7,140,2021
119,4.1,141,2021
120,4.3,270,2021
121,4.2,171,2021
122,6,189,2021
123,6,211,2021
124,6.2,157,2021
125,2.8,131,2021
126,3,131,2021
127,3.3,141,2021
128,6.4,258,2021
129,6.1,148,2021
130,12.4,174,2021
131,15.6,250,2021
132,15.9,411,2021
133,17.8,366,2021
134,12.4,171,2021
135,9.9,148,2021
136,11.1,166,2021
137,10.9,170,2021
138,12,250,2021
139,12.7,256,2021
140,11.8,225,2021
141,10.8,212,2021
142,10.6,199,2021
143,8.6,186,2021
144,9.1,157,2021
145,11.5,176,2021
146,8.9,149,2021
147,6.3,150,2021
148,10.6,263,2021
149,12.6,395,2021
150,13.6,451,2021
151,13.9,241,2021
152,12.9,301,2021
153,17,422,2020
154,15.4,418,2020
155,14.6,376,2020
156,15.8,330,2020
157,16.7,268,2020
158,16,208,2020
159,16,246,2020
160,16.5,222,2020
161,17.2,384,2020
162,17.4,417,2020
163,16.2,326,2020
164,16.8,400,2020
165,17.4,352,2020
166,17,435,2020
167,17.4,362,2020
168,17.2,242,2020
169,18.4,294,2020
170,19.4,420,2020
171,21.8,421,2020
172,21.2,368,2020
173,19.2,363,2020
174,17.4,258,2020
175,18.8,293,2020
176,20.4,326,2020
177,20.7,338,2020
178,21.1,353,2020
179,21.4,358,2020
180,21.8,330,2020
181,17.9,229,2020
182,17.1,242,2020
183,17.8,314,2020
184,18,318,2020
185,18.3,322,2020
186,18,193,2020
187,18.7,236,2020
188,17.1,192,2020
189,17.5,305,2020
190,16.2,206,2020
191,17.9,307,2020
192,17,262,2020
193,17.3,248,2020
194,17.5,306,2020
195,19.1,342,2020
196,20.6,278,2020
197,18.5,260,2020
198,20.2,379,2020
199,19.6,291,2020
200,18,290,2020
201,19.2,242,2020
202,17.9,308,2020
203,17.2,252,2020
204,16.2,376,2020
205,16.6,369,2020
206,18.2,366,2020
207,18.2,314,2020
208,20.5,293,2020
209,19,217,2020
210,17.2,208,2020
211,15.8,220,2020
212,16.8,214,2020
213,16.7,208,2020
214,18.7,378,2020
215,18.9,157,2020
216,17,248,2020
217,16,293,2020
218,15.9,207,2020
219,18.7,157,2020
220,21.4,307,2020
221,22.3,346,2020
222,18.5,337,2020
223,16.5,373,2020
224,15.7,337,2020
225,18.3,263,2020
226,18.7,267,2020
227,20.7,273,2020
228,21.9,343,2020
229,21,336,2020
230,20,260,2020
231,21.1,236,2020
232,20.5,293,2020
233,19.4,171,2020
234,20.2,190,2020
235,20.4,155,2020
236,17.6,171,2020
237,16.2,146,2020
238,14.3,244,2020
239,13.9,160,2020
240,13.4,228,2020
241,13.1,166,2020
242,12.6,117,2020
243,13.8,149,2020
244,11,160,2020
245,13.9,243,2020
246,12.7,115,2020
247,16.1,105,2020
248,15.6,102,2020
249,14.4,201,2020
250,12.8,162,2020
251,12.6,218,2020
252,14.3,131,2020
253,13.3,91.4,2020
254,10.8,252,2020
255,11.7,164,2020
256,13.1,84.5,2020
257,13.3,193,2020
258,14.9,84.5,2020
259,14.5,79.9,2020
260,12.6,81,2020
261,9.7,171,2020
262,11.3,199,2020
263,9.5,221,2020
264,9.1,98.4,2020
265,13.7,99.5,2020
266,13,120,2020
267,12.9,146,2020
268,14.4,113,2020
269,12.4,130,2020
270,14.4,79.9,2020
271,13.5,93.8,2020
272,12.9,76.4,2020
273,13.2,61.3,2020
274,12.7,90.3,2020
275,11.7,60.2,2020
276,12.9,113,2020
277,12.8,63.7,2020
278,13.5,55.6,2020
279,13.9,134,2020
280,12.8,53.2,2020
281,12.9,75.2,2020
282,12.1,56.7,2020
283,10.8,62.5,2020
284,9.3,52.1,2020
285,8.3,99.5,2020
286,7.9,56.7,2020
287,6.2,59,2020
288,6.5,57.9,2020
289,6.7,61.3,2020
290,5.7,63.7,2020
291,7,86.8,2020
292,3.7,56.7,2020
293,2.2,89.1,2020
294,2.2,40.5,2020
295,8.6,38.2,2020
296,10.7,34.7,2020
297,4,39.4,2020
298,2.5,33.6,2020
299,8.4,33.6,2020
300,10.7,32.4,2020
301,9.4,35.9,2020
302,8.3,34.7,2020
303,6.7,56.7,2020
304,2.4,37,2020
305,6,27.8,2020
306,9.5,26.6,2020
307,12.7,25.5,2020
308,9.7,32.4,2020
309,6.3,34.7,2020
310,8,50.9,2020
311,9.6,33.6,2020
312,8.8,23.1,2020
313,6.5,24.3,2020
314,5.7,25.5,2020
315,4.8,22,2020
316,6.7,19.7,2020
317,6.1,19.7,2020
318,6.7,19.7,2020
319,7.3,19.7,2020
320,8.1,17.4,2020
321,10,17.4,2020
322,8.7,19.7,2020
323,11.8,16.2,2020
324,6,16.2,2020
325,0.6,35.9,2020
326,3,15,2020
327,6.6,32.4,2020
328,4.1,39.4,2020
329,3.7,13.9,2020
330,8,12.7,2020
331,5.3,13.9,2020
332,0,28.9,2020
333,0.4,12.7,2020
334,-0.9,11.6,2020
335,-0.4,12.7,2020
336,1.9,11.6,2020
337,2.2,11.6,2020
338,3,11.6,2020
339,3.5,10.4,2020
340,6,11.6,2020
341,7.2,10.4,2020
342,4.8,10.4,2020
343,2.9,9.26,2020
344,2.1,9.26,2020
345,2,9.26,2020
346,2,9.26,2020
347,4.2,9.26,2020
348,2.6,9.26,2020
349,0.9,11.6,2020
350,5.8,9.26,2020
351,4.9,9.26,2020
352,4.2,9.26,2020
353,5.2,9.26,2020
354,5.8,9.26,2020
355,5.7,9.26,2020
356,5.9,9.26,2020
357,4.5,9.26,2020
358,3.4,12.7,2020
359,-1.1,24.3,2020
360,-0.7,9.26,2020
361,-2,9.26,2020
362,3.9,9.26,2020
363,3.6,9.26,2020
364,4.1,9.26,2020
365,1.6,9.26,2020
366,2.4,10.4,2020
