station,date,temp,glorad
613500,01/01/2019,6.2,2.3
613500,02/01/2019,2.9,2.9
613500,03/01/2019,1.7,2.2
613500,04/01/2019,4.8,1.4
613500,05/01/2019,4.2,2.7
613500,06/01/2019,1.3,1.4
613500,07/01/2019,5,1
613500,08/01/2019,4.1,0.6
613500,09/01/2019,1.4,1.8
613500,10/01/2019,0.4,1.9
613500,11/01/2019,4.9,2.2
613500,12/01/2019,4.4,1
613500,13/01/2019,5.8,0.9
613500,14/01/2019,2,2.9
613500,15/01/2019,4.7,0.8
613500,16/01/2019,6,0.6
613500,17/01/2019,2.6,1.8
613500,18/01/2019,-0.5,3.5
613500,19/01/2019,-0.5,1.4
613500,20/01/2019,-1.4,3.4
613500,21/01/2019,1.2,1.9
613500,22/01/2019,-0.5,0.7
613500,23/01/2019,-2.1,3
613500,24/01/2019,-3.4,1
613500,25/01/2019,-2.9,0.6
613500,26/01/2019,-0.7,1.3
613500,27/01/2019,2.6,0.7
613500,28/01/2019,1.8,1.7
613500,29/01/2019,0.1,3.8
613500,30/01/2019,0.4,3.9
613500,31/01/2019,0.1,1.7
613500,01/02/2019,0.2,2.3
613500,02/02/2019,0.8,1
613500,03/02/2019,0.5,1.9
613500,04/02/2019,0.8,2.3
613500,05/02/2019,3.6,2.8
613500,06/02/2019,2.7,0.9
613500,07/02/2019,3.8,1
613500,08/02/2019,5,1.4
613500,09/02/2019,5.7,3
613500,10/02/2019,4.4,1
613500,11/02/2019,3.3,4.5
613500,12/02/2019,2.2,4.5
613500,13/02/2019,6.2,3.3
613500,14/02/2019,5.1,1.4
613500,15/02/2019,3.9,5.6
613500,16/02/2019,5.1,7
613500,17/02/2019,6.6,3.1
613500,18/02/2019,5.5,7.1
613500,19/02/2019,5.5,2.7
613500,20/02/2019,5.6,4.3
613500,21/02/2019,6.5,1.9
613500,22/02/2019,1.7,6.8
613500,23/02/2019,1.2,5.8
613500,24/02/2019,3.9,8.5
613500,25/02/2019,4.8,7.9
613500,26/02/2019,5.2,4.8
613500,27/02/2019,6,9.1
613500,28/02/2019,4.5,9.1
613500,01/03/2019,2.7,3.8
613500,02/03/2019,3,4.5
613500,03/03/2019,6.7,6.9
613500,04/03/2019,6.9,3
613500,05/03/2019,5.4,3
613500,06/03/2019,4.7,3.5
613500,07/03/2019,7.1,3
613500,08/03/2019,5.5,10.2
613500,09/03/2019,4.8,7
613500,10/03/2019,4.1,8.5
613500,11/03/2019,1.2,7.9
613500,12/03/2019,3.2,4.7
613500,13/03/2019,4.7,2.6
613500,14/03/2019,4.9,3.5
613500,15/03/2019,5.3,4.1
613500,16/03/2019,5.3,6.7
613500,17/03/2019,6.5,9.5
613500,18/03/2019,4.8,6.3
613500,19/03/2019,3.6,13.9
613500,20/03/2019,5.5,2.8
613500,21/03/2019,7.5,3.7
613500,22/03/2019,6.6,4.1
613500,23/03/2019,7,9.8
613500,24/03/2019,5.1,11.5
613500,25/03/2019,4.4,7.2
613500,26/03/2019,5,11
613500,27/03/2019,7.9,6.8
613500,28/03/2019,8.6,7.5
613500,29/03/2019,8.4,15.9
613500,30/03/2019,8.2,15.8
613500,31/03/2019,5,17.5
613500,01/04/2019,2.8,17.7
613500,02/04/2019,5.9,16.4
613500,03/04/2019,9.5,9.6
613500,04/04/2019,9.5,14.4
613500,05/04/2019,10.2,14.9
613500,06/04/2019,10.3,13.9
613500,07/04/2019,10.6,16.6
613500,08/04/2019,7.4,17
613500,09/04/2019,2.9,19.9
613500,10/04/2019,2.5,13.6
613500,11/04/2019,2.8,9.2
613500,12/04/2019,1.4,9.7
613500,13/04/2019,2,8.9
613500,14/04/2019,3.7,10.8
613500,15/04/2019,3.9,21.6
613500,16/04/2019,4.8,21.1
613500,17/04/2019,8.3,21.8
613500,18/04/2019,9.7,22.4
613500,19/04/2019,10.3,22
613500,20/04/2019,9.5,22.3
613500,21/04/2019,10.7,23
613500,22/04/2019,10.1,23.1
613500,23/04/2019,12.2,22.3
613500,24/04/2019,12.4,13.5
613500,25/04/2019,13.7,21.3
613500,26/04/2019,13.1,12.2
613500,27/04/2019,11.5,15.7
613500,28/04/2019,11.9,18
613500,29/04/2019,12.7,23.5
613500,30/04/2019,11.9,16.8
613500,01/05/2019,10.2,14.8
613500,02/05/2019,8.8,12
613500,03/05/2019,5.7,18
613500,04/05/2019,4.6,18.6
613500,05/05/2019,6.2,22.3
613500,06/05/2019,7,20.6
613500,07/05/2019,6.3,20
613500,08/05/2019,8.6,16.6
613500,09/05/2019,11.3,20.5
613500,10/05/2019,9.6,11.3
613500,11/05/2019,8,26.4
613500,12/05/2019,8.8,25.6
613500,13/05/2019,8.3,26.6
613500,14/05/2019,8,18.6
613500,15/05/2019,9.6,25.5
613500,16/05/2019,12.3,21.7
613500,17/05/2019,10.6,5
613500,18/05/2019,13.4,22.4
613500,19/05/2019,15.3,16.2
613500,20/05/2019,17.4,20.5
613500,21/05/2019,15,6.1
613500,22/05/2019,11.9,5.8
613500,23/05/2019,12.1,26.9
613500,24/05/2019,12.5,18.8
613500,25/05/2019,12.2,20.1
613500,26/05/2019,11.6,6.7
613500,27/05/2019,13.1,18.7
613500,28/05/2019,10.7,21.5
613500,29/05/2019,9.5,23.8
613500,30/05/2019,11.9,6.1
613500,31/05/2019,14.4,18.5
613500,01/06/2019,14.7,17.5
613500,02/06/2019,15.4,25.6
613500,03/06/2019,18,18.4
613500,04/06/2019,14.9,14.3
613500,05/06/2019,20.7,26
613500,06/06/2019,19.4,19.5
613500,07/06/2019,14.5,16.3
613500,08/06/2019,15.2,17.5
613500,09/06/2019,15,26.1
613500,10/06/2019,14.5,9
613500,11/06/2019,17.2,15.1
613500,12/06/2019,16.7,10.5
613500,13/06/2019,17.1,25.2
613500,14/06/2019,17.7,22.3
613500,15/06/2019,16.2,8.2
613500,16/06/2019,16.7,25.3
613500,17/06/2019,17.5,27.8
613500,18/06/2019,19.4,22.3
613500,19/06/2019,20.8,25
613500,20/06/2019,17.7,21.8
613500,21/06/2019,15.5,25.5
613500,22/06/2019,14.2,29.1
613500,23/06/2019,15.2,28.4
613500,24/06/2019,16.4,26.5
613500,25/06/2019,20.8,26.4
613500,26/06/2019,20.8,24.6
613500,27/06/2019,15.4,24.7
613500,28/06/2019,17,28.5
613500,29/06/2019,18,27
613500,30/06/2019,21.1,26.9
613500,01/07/2019,17.2,19.3
613500,02/07/2019,14.2,22.2
613500,03/07/2019,13.6,25.4
613500,04/07/2019,13.1,8.5
613500,05/07/2019,15.2,29.5
613500,06/07/2019,14,13
613500,07/07/2019,13.8,13.7
613500,08/07/2019,14.1,19.7
613500,09/07/2019,15,22.8
613500,10/07/2019,15.9,28.8
613500,11/07/2019,15.8,24.8
613500,12/07/2019,17.7,20.7
613500,13/07/2019,17.4,27.3
613500,14/07/2019,14.7,8.4
613500,15/07/2019,15,13.2
613500,16/07/2019,15.6,14.4
613500,17/07/2019,16.4,23.7
613500,18/07/2019,17.2,24.4
613500,19/07/2019,19,19.1
613500,20/07/2019,18.4,19.2
613500,21/07/2019,17.7,13.6
613500,22/07/2019,15.6,10.5
613500,23/07/2019,20.8,26.8
613500,24/07/2019,21.5,25.8
613500,25/07/2019,22.4,22.3
613500,26/07/2019,22.4,23.5
613500,27/07/2019,21.1,18.8
613500,28/07/2019,20.9,19.4
613500,29/07/2019,23.6,22
613500,30/07/2019,20.3,11.7
613500,31/07/2019,17.6,5.8
613500,01/08/2019,15.5,8.2
613500,02/08/2019,16.9,15.4
613500,03/08/2019,18.5,20.9
613500,04/08/2019,17.4,14.1
613500,05/08/2019,17.4,15.8
613500,06/08/2019,19,17.2
613500,07/08/2019,17.4,13.8
613500,08/08/2019,17.7,16.8
613500,09/08/2019,18.1,15.9
613500,10/08/2019,20.2,16.2
613500,11/08/2019,19.3,20.4
613500,12/08/2019,18.1,19.4
613500,13/08/2019,14.5,10
613500,14/08/2019,15.1,19.9
613500,15/08/2019,16,5.8
613500,16/08/2019,16.8,14
613500,17/08/2019,17,6
613500,18/08/2019,16.3,6.3
613500,19/08/2019,16.8,15.6
613500,20/08/2019,16.3,16.1
613500,21/08/2019,15.5,19.5
613500,22/08/2019,17,19.9
613500,23/08/2019,18.6,17.7
613500,24/08/2019,18.6,20.1
613500,25/08/2019,20.9,19.6
613500,26/08/2019,22.5,16.9
613500,27/08/2019,20.8,11.4
613500,28/08/2019,23.2,16.3
613500,29/08/2019,21,12.8
613500,30/08/2019,17.8,14.4
613500,31/08/2019,20.6,18.4
613500,01/09/2019,18.6,8.7
613500,02/09/2019,15.1,15.9
613500,03/09/2019,16.1,10.3
613500,04/09/2019,16.3,9.7
613500,05/09/2019,14,13.1
613500,06/09/2019,13.3,7.4
613500,07/09/2019,14.5,15.2
613500,08/09/2019,12.8,7.4
613500,09/09/2019,13.2,4.4
613500,10/09/2019,14.6,1.5
613500,11/09/2019,14.8,11.3
613500,12/09/2019,15.8,13.2
613500,13/09/2019,15.1,15.5
613500,14/09/2019,13.5,14
613500,15/09/2019,14.3,6.7
613500,16/09/2019,12.8,15.2
613500,17/09/2019,11.3,12
613500,18/09/2019,11.3,14.1
613500,19/09/2019,11.1,13.5
613500,20/09/2019,12.8,5.6
613500,21/09/2019,13,10.7
613500,22/09/2019,13.4,14.4
613500,23/09/2019,14.3,8.2
613500,24/09/2019,14.2,3.8
613500,25/09/2019,14,4.2
613500,26/09/2019,14.5,7.1
613500,27/09/2019,15,7.1
613500,28/09/2019,14.5,7.7
613500,29/09/2019,13.5,3.4
613500,30/09/2019,12.6,6.8
613500,01/10/2019,9.5,10.1
613500,02/10/2019,8.9,10.3
613500,03/10/2019,7.5,5.6
613500,04/10/2019,7.3,5.4
613500,05/10/2019,6.3,9.2
613500,06/10/2019,5.6,7.4
613500,07/10/2019,4.7,7.7
613500,08/10/2019,10.5,6.7
613500,09/10/2019,11.3,5.7
613500,10/10/2019,11,8.5
613500,11/10/2019,12.7,3.1
613500,12/10/2019,12.6,6.1
613500,13/10/2019,12.3,1.6
613500,14/10/2019,12.9,6.9
613500,15/10/2019,12.4,7.6
613500,16/10/2019,11.7,1.1
613500,17/10/2019,11.8,2
613500,18/10/2019,12.5,4.6
613500,19/10/2019,11.7,5.4
613500,20/10/2019,11.2,3.8
613500,21/10/2019,11.2,0.9
613500,22/10/2019,11.4,3
613500,23/10/2019,11.2,2.6
613500,24/10/2019,11.6,1.4
613500,25/10/2019,12.4,4.2
613500,26/10/2019,13.8,1.3
613500,27/10/2019,10.5,5.8
613500,28/10/2019,8.2,5.6
613500,29/10/2019,4.6,7.6
613500,30/10/2019,2.9,6.3
613500,31/10/2019,6.2,4.9
613500,01/11/2019,4.2,4
613500,02/11/2019,8.1,0.9
613500,03/11/2019,9.5,2.5
613500,04/11/2019,8.7,1.4
613500,05/11/2019,5.3,1.4
613500,06/11/2019,3.9,2.6
613500,07/11/2019,4.8,2.9
613500,08/11/2019,6.2,2.8
613500,09/11/2019,5,2.6
613500,10/11/2019,5.1,3.6
613500,11/11/2019,5.5,3.7
613500,12/11/2019,5.7,1.1
613500,13/11/2019,5.2,3.6
613500,14/11/2019,5.3,1.8
613500,15/11/2019,6.9,0.8
613500,16/11/2019,8.3,0.3
613500,17/11/2019,5.6,2.5
613500,18/11/2019,8.7,1
613500,19/11/2019,6.8,1.1
613500,20/11/2019,6.2,0.6
613500,21/11/2019,6.9,0.3
613500,22/11/2019,8.3,1.4
613500,23/11/2019,7.2,0.4
613500,24/11/2019,6.1,0.4
613500,25/11/2019,5.3,0.3
613500,26/11/2019,5.8,0.5
613500,27/11/2019,7.2,0.7
613500,28/11/2019,7.9,0.3
613500,29/11/2019,3.4,2
613500,30/11/2019,2.2,3.5
613500,01/12/2019,2.7,3.3
613500,02/12/2019,3,2.7
613500,03/12/2019,3.6,0.8
613500,04/12/2019,6.8,0.9
613500,05/12/2019,5.9,1
613500,06/12/2019,6.7,0.4
613500,07/12/2019,7.2,2.4
613500,08/12/2019,7.6,0.3
613500,09/12/2019,6,1.4
613500,10/12/2019,3.4,2.7
613500,11/12/2019,5.1,0.4
613500,12/12/2019,4.7,1
613500,13/12/2019,3.3,0.5
613500,14/12/2019,3.6,0.3
613500,15/12/2019,4.9,0.9
613500,16/12/2019,5.8,1
613500,17/12/2019,6.8,0.7
613500,18/12/2019,6.3,2.2
613500,19/12/2019,5.3,2.5
613500,20/12/2019,5,0.8
613500,21/12/2019,6.3,1.7
613500,22/12/2019,3.8,0.8
613500,23/12/2019,5.8,0.4
613500,24/12/2019,5.1,1.1
613500,25/12/2019,4.2,0.8
613500,26/12/2019,4.2,1.3
613500,27/12/2019,1.2,1.9
613500,28/12/2019,0.1,1.1
613500,29/12/2019,2.6,0.8
613500,30/12/2019,5.9,1.7
613500,31/12/2019,5.2,2.5
613500,01/01/2020,3.5,1.7
613500,02/01/2020,1.7,0.6
613500,03/01/2020,5.1,0.4
613500,04/01/2020,4.4,2.6
613500,05/01/2020,2.9,1.1
613500,06/01/2020,5.5,0.5
613500,07/01/2020,5.4,1.1
613500,08/01/2020,6.8,1
613500,09/01/2020,5.8,0.3
613500,10/01/2020,5.8,0.5
613500,11/01/2020,4.6,1.3
613500,12/01/2020,5.6,0.4
613500,13/01/2020,5.3,1.6
613500,14/01/2020,6.6,1.5
613500,15/01/2020,8.9,0.3
613500,16/01/2020,6.1,2.3
613500,17/01/2020,6.1,2.9
613500,18/01/2020,5.6,1.4
613500,19/01/2020,3.3,3.9
613500,20/01/2020,4.9,2.1
613500,21/01/2020,6.4,1.3
613500,22/01/2020,4.6,3.4
613500,23/01/2020,4.2,0.9
613500,24/01/2020,5.7,0.8
613500,25/01/2020,5.6,1.7
613500,26/01/2020,3.7,1.9
613500,27/01/2020,4.8,0.5
613500,28/01/2020,5.2,1.3
613500,29/01/2020,4.5,2.8
613500,30/01/2020,6.1,1.2
613500,31/01/2020,7.5,2
613500,01/02/2020,8.1,1.1
613500,02/02/2020,4.9,4
613500,03/02/2020,4.6,1.3
613500,04/02/2020,3.7,3
613500,05/02/2020,3.1,5.6
613500,06/02/2020,6.1,2.5
613500,07/02/2020,4.9,1.2
613500,08/02/2020,4.7,5.1
613500,09/02/2020,6.9,1
613500,10/02/2020,5.8,2.7
613500,11/02/2020,3.7,3.1
613500,12/02/2020,3.8,2.2
613500,13/02/2020,3.5,4.9
613500,14/02/2020,4,6.6
613500,15/02/2020,5.8,1.3
613500,16/02/2020,8.5,0.9
613500,17/02/2020,6.8,3.5
613500,18/02/2020,5.5,4.7
613500,19/02/2020,4.9,4.5
613500,20/02/2020,4.8,1.1
613500,21/02/2020,5.6,5.8
613500,22/02/2020,6.3,2.3
613500,23/02/2020,4.6,2.6
613500,24/02/2020,4.3,4.6
613500,25/02/2020,4.6,4.7
613500,26/02/2020,2,3.2
613500,27/02/2020,0.8,5.6
613500,28/02/2020,3.9,9.4
613500,29/02/2020,4.9,2.1
613500,01/03/2020,5,4.8
613500,02/03/2020,4.8,8.6
613500,03/03/2020,4.4,3.3
613500,04/03/2020,3.9,9.3
613500,05/03/2020,2.9,5.4
613500,06/03/2020,4.4,4.9
613500,07/03/2020,3.8,8.8
613500,08/03/2020,6.5,6
613500,09/03/2020,6.6,4.8
613500,10/03/2020,6,2
613500,11/03/2020,7,11.8
613500,12/03/2020,6.1,8.9
613500,13/03/2020,4.3,7.8
613500,14/03/2020,2.4,13.9
613500,15/03/2020,6.4,4
613500,16/03/2020,7.6,6.8
613500,17/03/2020,6.9,8
613500,18/03/2020,7.5,2.9
613500,19/03/2020,6.2,13
613500,20/03/2020,4.8,12.3
613500,21/03/2020,2.8,16.2
613500,22/03/2020,1.5,10.2
613500,23/03/2020,1.6,16.3
613500,24/03/2020,3.3,15.3
613500,25/03/2020,4,17
613500,26/03/2020,3.9,16.7
613500,27/03/2020,5.4,16.5
613500,28/03/2020,4.1,13.4
613500,29/03/2020,1.9,18.1
613500,30/03/2020,3.5,17.2
613500,31/03/2020,2.6,18.3
613500,01/04/2020,6,8.9
613500,02/04/2020,6.4,7
613500,03/04/2020,4.9,18.1
613500,04/04/2020,4.6,11.7
613500,05/04/2020,7.9,19
613500,06/04/2020,11.1,19.5
613500,07/04/2020,10.6,19.8
613500,08/04/2020,9.8,18.4
613500,09/04/2020,8.4,20.1
613500,10/04/2020,5.4,19.4
613500,11/04/2020,5.9,11.3
613500,12/04/2020,11.3,17
613500,13/04/2020,5.6,19.4
613500,14/04/2020,5.7,20.4
613500,15/04/2020,8.9,18.6
613500,16/04/2020,8.9,22.1
613500,17/04/2020,7.1,20
613500,18/04/2020,7.4,22.1
613500,19/04/2020,7.8,20.5
613500,20/04/2020,8.6,23.1
613500,21/04/2020,9.6,23
613500,22/04/2020,10.4,23.8
613500,23/04/2020,11.2,23.8
613500,24/04/2020,9.8,21.4
613500,25/04/2020,9.3,21.5
613500,26/04/2020,7.4,11.1
613500,27/04/2020,9.7,14.4
613500,28/04/2020,9.7,20.3
613500,29/04/2020,7.1,5.5
613500,30/04/2020,8.1,5.2
613500,01/05/2020,8.9,13.7
613500,02/05/2020,8.9,14.1
613500,03/05/2020,9.4,19.4
613500,04/05/2020,8.2,24.2
613500,05/05/2020,8,19.9
613500,06/05/2020,8.4,24.6
613500,07/05/2020,10.8,23.3
613500,08/05/2020,11,24.2
613500,09/05/2020,12.8,23.4
613500,10/05/2020,12.7,19.3
613500,11/05/2020,7.1,26.7
613500,12/05/2020,6,17.2
613500,13/05/2020,6.7,20.5
613500,14/05/2020,6.9,27.9
613500,15/05/2020,8.8,15.7
613500,16/05/2020,10.3,17.4
613500,17/05/2020,10.9,15.8
613500,18/05/2020,11,6.6
613500,19/05/2020,12.1,22.2
613500,20/05/2020,10.8,26.8
613500,21/05/2020,12.6,22.8
613500,22/05/2020,13.5,16.5
613500,23/05/2020,13.2,17.3
613500,24/05/2020,11.6,11.6
613500,25/05/2020,12.1,16.7
613500,26/05/2020,13.4,28.1
613500,27/05/2020,12.1,19.9
613500,28/05/2020,12.5,28.3
613500,29/05/2020,12.6,28.7
613500,30/05/2020,13.7,18.3
613500,31/05/2020,15.3,27.8
613500,01/06/2020,16.1,28.9
613500,02/06/2020,17.4,28.4
613500,03/06/2020,14.9,28.1
613500,04/06/2020,12.8,13.5
613500,05/06/2020,12.6,22.7
613500,06/06/2020,11.1,20.6
613500,07/06/2020,13.6,23.7
613500,08/06/2020,13.6,23.4
613500,09/06/2020,13.5,28
613500,10/06/2020,15.1,21.3
613500,11/06/2020,17.2,11.3
613500,12/06/2020,16.2,6.5
613500,13/06/2020,18.3,14.3
613500,14/06/2020,17.4,29.9
613500,15/06/2020,17,29.8
613500,16/06/2020,17.8,26.6
613500,17/06/2020,18.5,18
613500,18/06/2020,18.2,26.4
613500,19/06/2020,16.8,5.4
613500,20/06/2020,16.4,5.8
613500,21/06/2020,17.1,25.3
613500,22/06/2020,16.3,25.6
613500,23/06/2020,16.3,29.4
613500,24/06/2020,18.8,26.7
613500,25/06/2020,20.7,28.9
613500,26/06/2020,21.7,27.5
613500,27/06/2020,21.4,21
613500,28/06/2020,18.3,13.2
613500,29/06/2020,17.2,27.4
613500,30/06/2020,15.5,13.6
613500,01/07/2020,16.5,17.8
