doy,temp,rad,year
1,3.5,19.6,2020
2,1.7,6.94,2020
3,5.1,4.62,2020
4,4.4,30.0,2020
5,2.9,12.7,2020
6,5.5,5.78,2020
7,5.4,12.7,2020
8,6.8,11.5,2020
9,5.8,3.47,2020
10,5.8,5.78,2020
11,4.6,15.0,2020
12,5.6,4.62,2020
13,5.3,18.5,2020
14,6.6,17.3,2020
15,8.9,3.47,2020
16,6.1,26.6,2020
17,6.1,33.5,2020
18,5.6,16.2,2020
19,3.3,45.1,2020
20,4.9,24.3,2020
21,6.4,15.0,2020
22,4.6,39.3,2020
23,4.2,10.4,2020
24,5.7,9.25,2020
25,5.6,19.6,2020
26,3.7,21.9,2020
27,4.8,5.78,2020
28,5.2,15.0,2020
29,4.5,32.4,2020
30,6.1,13.8,2020
31,7.5,23.1,2020
32,8.1,12.7,2020
33,4.9,46.2,2020
34,4.6,15.0,2020
35,3.7,34.7,2020
36,3.1,64.8,2020
37,6.1,28.9,2020
38,4.9,13.8,2020
39,4.7,59.0,2020
40,6.9,11.5,2020
41,5.8,31.2
42,3.7,35.8,2020
43,3.8,25.42020
44,3.5,56.72020
45,4,76.3,2020
46,5.8,15.0,2020
47,8.5,10.4,2020
48,6.8,40.5,2020
49,5.5,54.3,2020
50,4.9,52.0,2020
51,4.8,12.7,2020
52,5.6,67.1,2020
53,6.3,26.6,2020
54,4.6,30.0,2020
55,4.3,53.2,2020
56,4.6,54.3,2020
57,2,37.02020
58,0.8,64.8,2020
59,3.9,108.,2020
60,4.9,24.3,2020
61,5,55.5,2020
62,4.8,99.52020
63,4.4,38.1,2020
64,3.9,107.,2020
65,2.9,62.5
66,4.4,56.72020
67,3.8,101.,2020
68,6.5,69.4,2020
69,6.6,55.5,2020
70,6,23.1,2020
71,7,136.,2020
72,6.1,103.,2020
73,4.3,90.2,2020
74,2.4,160.2020
75,6.4,46.2,2020
76,7.6,78.7,2020
77,6.9,92.5,2020
78,7.5,33.5,2020
79,6.2,150.,2020
80,4.8,142.,2020
81,2.8,187.
82,1.5,118.,2020
83,1.6,188.,2020
84,3.3,177.,2020
85,4,196.,2020
86,3.9,193.,2020
87,5.4,190.,2020
88,4.1,155.,2020
89,1.9,209.,2020
90,3.5,199.,2020
91,2.6,211.,2020
92,6,103.,2020
93,6.4,81.0,2020
94,4.9,209.,2020
95,4.6,135.,2020
96,7.9,219.,2020
97,11.1,225.,2020
98,10.6,229.,2020
99,9.8,212.,2020
100,8.4,232.,2020
101,5.4,224.,2020
102,5.9,130.,2020
103,11.3,196.,2020
104,5.6,224.,2020
105,5.7,236.,2020
106,8.9,215.,2020
107,8.9,255.,2020
108,7.1,231.,2020
109,7.4,255.,2020
110,7.8,237.,2020
111,8.6,267.,2020
112,9.6,266.,2020
113,10.4,275.,2020
114,11.2,275.,2020
115,9.8,247.,2020
116,9.3,248.,2020
117,7.4,128.,2020
118,9.7,166.,2020
119,9.7,234.,2020
120,7.1,63.6,2020
121,8.1,60.1,2020
122,8.9,158.,2020
123,8.9,163.,2020
124,9.4,224.,2020
125,8.2,280.,2020
126,8,230.,2020
127,8.4,284.,2020
128,10.8,269.,2020
129,11,280.,2020
130,12.8,270.,2020
131,12.7,223.2020
132,7.1,309.,2020
133,6,199.,2020
134,6.7,237.,2020
135,6.9,322.,2020
136,8.8,181.,2020
137,10.3,201.,2020
138,10.9,182.2020
139,11,76.3,2020
140,12.1,256.,2020
141,10.8,310.,2020
142,12.6,263.,2020
143,13.5,190.,2020
144,13.2,200.,2020
145,11.6,134.,2020
146,12.1,193.,2020
147,13.4,325.,2020
148,12.1,230.,2020
149,12.5,327.,2020
150,12.6,332.,2020
151,13.7,211.,2020
152,15.3,321.,2020
153,16.1,334.,2020
154,17.4,328.,2020
155,14.9,325.,2020
156,12.8,156.
157,12.6,262.,2020
158,11.1,238.,2020
159,13.6,274.,2020
160,13.6,270.,2020
161,13.5,324.,2020
162,15.1,246.,2020
163,17.2,130.,2020
164,16.2,75.2,2020
165,18.3,165.,2020
166,17.4,346.,2020
167,17,344.,2020
168,17.8,307.2020
169,18.5,208.,2020
170,18.2,305.,2020
171,16.8,62.5
172,16.4,67.1,2020
173,17.1,292.,2020
174,16.3,296.,2020
175,16.3,340.,2020
176,18.8,309.,2020
177,20.7,334.,2020
178,21.7,318.,2020
179,21.4,243.,2020
180,18.3,152.,2020
181,17.2,317.2020
182,15.5,157.,2020
183,16.5,206.,2020
184,16.3,221.,2020
185,14.4,163.,2020
186,15.4,43.9,2020
187,16.9,165.,2020
188,14.1,238.,2020
189,12.9,190.,2020
190,13.1,231.,2020
191,12.9,215.,2020
192,11.1,90.2,2020
193,13.9,246.,2020
194,13.7,160.2020
195,14.7,251.,2020
196,15.5,150.,2020
197,15.1,236.,2020
198,15.8,299.,2020
199,17.3,315.,2020
200,18.4,296.,2020
201,20.8,216.,2020
202,16.4,267.,2020
203,15,231.,2020
204,14.9,271.,2020
205,14.9,240.,2020
206,16.7,164.,2020
207,16.9,239.,2020
208,17.9,136.,2020
209,17.1,166.,2020
210,18.1,255.,2020
211,15.3,167.,2020
212,15.7,162.,2020
213,16.1,265.,2020
214,18.3,262.,2020
215,19,187.
216,16.3,262.,2020
217,15.4,231.,2020
218,18.4,160.2020
219,22.2,260.,2020
220,22.9,276.2020
221,23,267.,2020
222,22.9,172.,2020
223,23.6,255.,2020
224,20.7,260.,2020
225,19.8,258.,2020
226,19.6,266.,2020
227,19.2,260.,2020
228,21.8,243.,2020
229,22.7,254.2020
230,22.5,253.,2020
231,20.3,158.,2020
232,19.8,236.,2020
233,19.6,59.0,2020
234,20,84.4,2020
235,20.4,188.,2020
236,18,186.,2020
237,15.6,112.,2020
238,14.8,200.,2020
239,17.1,105.,2020
240,14.8,74.0,2020
241,14.7,97.2,2020
242,15.3,165.,2020
243,15.4,168.,2020
244,15.1,219.,2020
245,14.4,214.2020
246,15.1,181.,2020
247,14.5,145.,2020
248,17,133.,2020
249,15.3,142.,2020
250,13.7,159.,2020
251,14.2,170.,2020
252,16.8,111.,2020
253,16.3,46.2,2020
254,13.5,165.,2020
255,8.2,1.15,2020
256,14.8,91.4,2020
257,15.9,47.4,2020
258,17.4,164.,2020
259,18.4,158.,2020
260,15.5,158.,2020
261,11.4,157.,2020
262,9.8,165.,2020
263,11.5,136.,2020
264,12.2,142.,2020
265,12.8,129.2020
266,13.5,137.,2020
267,14.9,137.,2020
268,15.9,136.,2020
269,12.8,26.6,2020
270,13.2,48.6,2020
271,17.8,84.4,2020
272,14.1,41.6,2020
273,13.1,150.,2020
274,13.9,84.4,2020
275,13.6,79.8,2020
276,14.7,54.3,2020
277,15.3,24.3,2020
278,14.7,79.8,2020
279,13.2,83.3,2020
280,11.9,35.8,2020
281,12.8,82.1,2020
282,12.2,30.0,2020
283,11.6,104.,2020
284,10,86.8,2020
285,9.1,75.2,2020
286,7.3,68.22020
287,8.4,105.,2020
288,8.3,77.5,2020
289,7.3,112.,2020
290,7.2,86.8,2020
291,7.9,90.2,2020
292,9.1,93.7
293,8.4,83.3,2020
294,9.7,32.4,2020
295,12.1,11.5,2020
296,13.9,48.6,2020
297,11.4,62.5
298,11.9,70.6,2020
299,12.2,15.0,2020
300,10.7,20.8,2020
301,9.6,23.1,2020
302,10.5,50.9,2020
303,9.6,34.7,2020
304,9.9,15.0,2020
305,11.9,25.42020
306,12.1,53.2,2020
307,14.8,13.8,2020
308,10.4,42.8,2020
309,9.2,64.8,2020
310,10,24.3,2020
311,10.2,18.5,2020
312,8.9,26.6,2020
313,6.2,57.8,2020
314,7.7,16.2,2020
315,6.8,8.10,2020
316,5.8,4.62,2020
317,7.1,8.10,2020
318,8.3,26.6,2020
319,9.5,37.02020
320,11.1,32.4,2020
321,10,20.8,2020
322,10.3,4.62,2020
323,10.9,4.62,2020
324,7.8,20.8,2020
325,4.4,49.7,2020
326,7.2,3.47,2020
327,8.5,39.3,2020
328,7.3,43.9,2020
329,7.8,4.62,2020
330,6.2,28.9,2020
331,6.9,30.0,2020
332,3,43.9,2020
333,0,16.2,2020
334,0.6,6.94,2020
335,1.5,9.25,2020
336,3.9,8.10,2020
337,3.2,4.62,2020
338,1.1,4.62,2020
339,2,16.2,2020
340,4.1,8.10,2020
341,5.5,10.4,2020
342,6.6,4.62,2020
343,4.7,3.47,2020
344,3.4,4.62,2020
345,2.8,2.31,2020
346,1.4,3.47,2020
347,3.1,5.78,2020
348,3.1,10.4,2020
349,4.7,8.10,2020
350,6.7,5.78,2020
351,6.6,11.5,2020
352,6.7,3.47,2020
353,6.7,9.25,2020
354,4.9,17.3,2020
355,6.2,10.4,2020
356,6,6.94,2020
357,6.4,5.78,2020
358,3.4,18.5,2020
359,2.9,9.25,2020
360,1.4,32.4,2020
361,2.8,5.78,2020
362,3,2.31,2020
363,2.5,5.78,2020
364,2.6,6.94,2020
365,3.9,3.47,2020
366,3.8,2.31,2020
