"doy","temp","glorad"
275,13.5,56.7
276,14.2,34.7
277,14.6,33.6
278,13.4,53.2
279,12,99.5
280,11.1,53.2
281,11.1,54.4
282,10,35.9
283,9.1,60.2
284,8.1,97.2
285,7.6,92.6
286,7.8,59
287,8.6,72.9
288,7.2,81
289,6.7,83.3
290,6,93.8
291,7.7,82.2
292,6.7,91.4
293,7.1,85.6
294,8.4,25.5
295,12.3,22
296,12.4,42.8
297,10.3,52.1
298,10.4,56.7
299,11.6,19.7
300,9.3,26.6
301,8.4,60.2
302,9,63.7
303,8.2,62.5
304,9.6,20.8
305,9.7,45.1
306,11.1,32.4
307,13.7,17.4
308,8.7,52.1
309,7.8,56.7
310,10.1,15
311,10.9,49.8
312,8.6,20.8
313,6.4,53.2
314,7.7,16.2
315,7.5,12.7
316,5.8,5.79
317,7.2,9.26
318,7.7,38.2
319,7.2,27.8
320,11.3,31.2
321,9.1,31.2
322,10.4,9.26
323,11.4,15
324,6.3,35.9
325,3.8,35.9
326,8.1,9.26
327,7.1,28.9
328,6.4,26.6
329,9,4.63
330,7.5,10.4
331,7.4,26.6
332,2.4,32.4
333,0.1,19.7
334,1.2,4.63
335,1,8.1
336,3.5,5.79
337,3.5,4.63
338,1.8,6.94
339,2.7,9.26
340,4.2,4.63
341,3.9,5.79
342,6.6,4.63
343,4.7,10.4
344,4.2,6.94
345,3,2.31
346,2.2,2.31
347,3.5,2.31
348,3.7,6.94
349,5.5,3.47
350,7.6,4.63
351,6.4,9.26
352,6.7,5.79
353,7.2,9.26
354,5.6,23.1
355,8,8.1
356,6,17.4
357,6.2,10.4
358,3.9,12.7
359,0.8,18.5
360,-0.6,25.5
361,3,8.1
362,3.7,5.79
363,2.5,4.63
364,2.6,2.31
365,2.6,6.94
366,1.7,5.79
1,0.1,12.7
2,0.4,12.7
3,1.2,10.4
4,-0.1,5.79
5,0.9,8.1
6,-0.1,4.63
7,0,4.63
8,-0.2,9.26
9,0.2,9.26
10,0.8,18.5
11,4.1,12.7
12,0.7,24.3
13,0.2,11.6
14,-1.8,6.94
15,-3.4,13.9
16,-5.7,48.6
17,-1.2,30.1
18,0,12.7
19,1.6,10.4
20,5.3,6.94
21,5.2,23.1
22,4.2,24.3
23,1.9,19.7
24,1.2,17.4
25,0.3,19.7
26,-1.1,26.6
27,0.3,15
28,-2.6,62.5
29,-3.6,27.8
30,-2.1,39.4
31,-0.8,66
32,-2.5,62.5
33,-4.8,41.7
34,-2.2,19.7
35,-4.2,26.6
36,-5,39.4
37,-4.9,70.6
38,-4.4,33.6
39,-3.3,37
40,-4.4,28.9
41,-5.3,79.9
42,-7.4,59
43,-7.6,102
44,-6,98.4
45,-5.2,90.3
46,-1.3,23.1
47,-1.2,33.6
48,0.6,26.6
49,2.8,25.5
50,4.2,72.9
51,6.3,50.9
52,7.4,72.9
53,6,79.9
54,6.4,26.6
55,9.8,30.1
56,8.4,55.6
57,5.6,52.1
58,5.1,101
59,5.5,103
60,4.3,57.9
61,3.8,130
62,1.4,78.7
63,0.9,138
64,0.1,141
65,2.7,68.3
66,3,132
67,-0.5,150
68,-0.1,157
69,0.5,71.8
70,4.5,27.8
71,4.3,67.1
72,2.9,35.9
73,4,99.5
74,3.7,72.9
75,2.7,153
76,2.7,92.6
77,1.5,138
78,0.6,147
79,3.5,54.4
80,4.6,155
81,4.1,71.8
82,5.6,94.9
83,6.9,104
84,6.3,149
85,6.9,79.9
86,5.4,93.8
87,6,40.5
88,8.9,32.4
89,10.6,189
90,9.9,118
91,6.5,203
92,5.6,182
93,4.6,205
94,5.3,74.1
95,2.4,133
96,3.1,188
97,3.7,142
98,3.3,103
99,4.7,171
100,2.8,189
101,1.1,42.8
102,2.9,183
103,4.2,194
104,4.1,207
105,4.4,183
106,5.4,215
107,8.3,193
108,9.9,242
109,10.3,251
110,10.3,263
111,6.6,226
112,6.5,277
113,6,189
114,5.1,266
115,4.2,273
116,4.2,205
117,5.2,267
118,6.6,182
119,7.4,213
120,6.2,48.6
121,6.9,149
122,8.3,211
123,6.7,190
124,6.5,67.1
125,6,98.4
126,4.7,126
127,5.2,183
128,7.6,238
129,13.3,215
130,14.9,174
131,11.5,99.5
132,10.4,52.1
133,11.2,133
134,11.2,108
135,8.4,88
136,9.5,77.5
137,9.8,130
138,9.8,186
139,8.7,141
140,8.8,231
141,9.8,176
142,9.9,125
143,8.6,99.5
144,10.1,98.4
145,10.3,83.3
146,8.7,69.4
147,10.2,177
148,9.9,277
149,13.3,322
150,14.5,333
151,12.6,334
152,13.1,240
153,13.7,245
154,15.7,159
155,16.9,288
156,17.7,317
157,16.9,231
158,15.2,242
159,15.1,328
160,16.2,329
161,17.3,295
162,17,167
163,13.4,260
164,14.3,336
165,15.2,174
166,12.9,302
167,15,345
168,20.8,286
169,18,168
170,18.5,237
171,15,139
172,12.9,126
173,15.1,213
174,15.3,207
175,14.3,330
176,14.9,168
177,14.9,96.1
178,15,251
179,15.1,350
180,14.3,243
181,16.4,209
182,17.3,287
183,17.1,108
184,16.3,69.4
185,18.6,221
186,17.8,191
187,16.5,146
188,17.5,292
189,17.7,241
190,17.3,204
191,16.5,181
192,17.3,234
193,19.4,284
194,21.1,266
195,23.1,294
196,20.4,300
197,20.6,321
198,18.7,321
199,15.8,207
200,16.1,300
201,15.8,181
202,16,132
203,16.5,220
204,17.4,249
205,18.8,297
206,19.4,119
207,20.6,191
208,19.1,209
209,17.1,178
210,14.7,163
211,16.8,191
212,16,172
213,14.5,188
214,15.1,247
215,14.3,251
216,14,166
217,14.9,171
218,17.7,237
219,15,86.8
220,15.1,135
221,15.8,171
222,14.8,131
223,15.8,209
224,17.7,152
225,17.1,150
226,15.4,181
227,15.1,153
228,12.7,78.7
229,15.8,225
230,14.3,82.2
231,14.4,197
232,13.8,166
233,13.4,171
234,14.2,212
235,15,244
236,14.9,229
237,16.4,138
238,14,76.4
239,14.9,49.8
240,15,101
241,16.3,145
242,15.7,228
243,15.4,220
244,15.5,207
245,15.4,168
246,14.7,215
247,13.9,218
248,12.9,219
249,12.4,115
250,15.2,113
251,18.3,182
252,18.1,190
253,17.3,84.5
254,17.8,79.9
255,15.8,90.3
256,15,71.8
257,14.9,139
258,13.7,37
259,13.6,46.3
260,11.5,45.1
261,13,52.1
262,10.8,56.7
263,10.6,90.3
264,11.5,86.8
265,14.4,157
266,13.2,66
267,13.2,50.9
268,13,144
269,13.3,117
270,15.2,25.5
271,13.4,138
272,12.2,79.9
273,10.8,75.2
274,12.1,31.2
